Req ID,Requirement,Type,Project,Feature Area,Section,Status,Priority,Functional Requirements,Product Requirement
N-FR-01,The system shall create a relation property on the Focus Tasks DB linking each task to exactly one Project,Functional Requirement,Pomodoro Timer (https://www.notion.so/Pomodoro-Timer-366da49ee112802a9df7cc88b889bb39?pvs=21),Notion Integration,1. Data Architecture,Draft,Must Have,,
N-FR-26,Each Focus Task row shall have a Notion button property labelled 'Reschedule to Today' that sets Scheduled Date to the current date,Functional Requirement,Pomodoro Timer (https://www.notion.so/Pomodoro-Timer-366da49ee112802a9df7cc88b889bb39?pvs=21),Notion Integration,3. Focus Tasks DB,Draft,Must Have,,
N-FR-11,Projects DB — Notes: Rich text field. Freetext context for the project,Functional Requirement,Pomodoro Timer (https://www.notion.so/Pomodoro-Timer-366da49ee112802a9df7cc88b889bb39?pvs=21),Notion Integration,2. Projects DB,Draft,Should Have,,
N-FR-37,Pomodoro Sessions DB — Type: Select field. Options: Focus / Short Break / Long Break / Planning,Functional Requirement,Pomodoro Timer (https://www.notion.so/Pomodoro-Timer-366da49ee112802a9df7cc88b889bb39?pvs=21),Notion Integration,4. Pomodoro Sessions DB,Draft,Must Have,,
N-PR-13,"When starting a pomodoro, the app shall present only actionable tasks — those scheduled for today or overdue — rather than the full backlog",Product Requirement,Pomodoro Timer (https://www.notion.so/Pomodoro-Timer-366da49ee112802a9df7cc88b889bb39?pvs=21),Notion Integration,6. App Task Picker,Draft,Must Have,"N-FR-46 (https://www.notion.so/N-FR-46-366da49ee11281669597e0babecddddc?pvs=21), N-FR-47 (https://www.notion.so/N-FR-47-366da49ee1128152b003cab1618a6002?pvs=21), N-FR-49 (https://www.notion.so/N-FR-49-366da49ee1128195a16cdb6a2e88efb7?pvs=21), N-FR-50 (https://www.notion.so/N-FR-50-366da49ee11281db9f27f0caa428a574?pvs=21)",
N-FR-34,Pomodoro Sessions DB — Start Time: Date field with time. Session start timestamp.,Functional Requirement,Pomodoro Timer (https://www.notion.so/Pomodoro-Timer-366da49ee112802a9df7cc88b889bb39?pvs=21),Notion Integration,4. Pomodoro Sessions DB,Draft,Must Have,,
N-FR-40,Pomodoro Sessions DB — Interruptions: Number field. Count of interruptions logged during the session,Functional Requirement,Pomodoro Timer (https://www.notion.so/Pomodoro-Timer-366da49ee112802a9df7cc88b889bb39?pvs=21),Notion Integration,4. Pomodoro Sessions DB,Draft,Nice To Have,,
N-PR-05,"Projects shall be categorised by Area to allow filtering across domains of life (e.g. Work, Personal, Learning)",Product Requirement,Pomodoro Timer (https://www.notion.so/Pomodoro-Timer-366da49ee112802a9df7cc88b889bb39?pvs=21),Notion Integration,2. Projects DB,Draft,Should Have,N-FR-06 (https://www.notion.so/N-FR-06-366da49ee112817da63fe72b15425b27?pvs=21),
N-FR-16,Focus Tasks DB — Originally Scheduled: Date field. Set once when Scheduled Date is first assigned. Never updated on reschedule. Used to calculate days overdue.,Functional Requirement,Pomodoro Timer (https://www.notion.so/Pomodoro-Timer-366da49ee112802a9df7cc88b889bb39?pvs=21),Notion Integration,3. Focus Tasks DB,Draft,Should Have,,
N-FR-25,Focus Tasks DB — Completed Date: Date field. Set automatically when Status transitions to Done,Functional Requirement,Pomodoro Timer (https://www.notion.so/Pomodoro-Timer-366da49ee112802a9df7cc88b889bb39?pvs=21),Notion Integration,3. Focus Tasks DB,Draft,Must Have,,
N-FR-35,Pomodoro Sessions DB — End Time: Date field with time. Session end timestamp.,Functional Requirement,Pomodoro Timer (https://www.notion.so/Pomodoro-Timer-366da49ee112802a9df7cc88b889bb39?pvs=21),Notion Integration,4. Pomodoro Sessions DB,Draft,Must Have,,
N-FR-30,"Pomodoro Sessions DB — Name: Title field. Auto-generated by the app, e.g. '2026-05-20 · Focus · Session 3'",Functional Requirement,Pomodoro Timer (https://www.notion.so/Pomodoro-Timer-366da49ee112802a9df7cc88b889bb39?pvs=21),Notion Integration,4. Pomodoro Sessions DB,Draft,Must Have,,
N-PR-03,The user shall never need to manually update the Pomodoro Sessions database — the app writes to it automatically,Product Requirement,Pomodoro Timer (https://www.notion.so/Pomodoro-Timer-366da49ee112802a9df7cc88b889bb39?pvs=21),Notion Integration,1. Data Architecture,Draft,Must Have,"N-FR-30 (https://www.notion.so/N-FR-30-366da49ee1128177a3d2dd2fddd95f87?pvs=21), N-FR-31 (https://www.notion.so/N-FR-31-366da49ee11281fb9825fc60ad8893f4?pvs=21), N-FR-32 (https://www.notion.so/N-FR-32-366da49ee112813d8b09d47196b924c5?pvs=21), N-FR-33 (https://www.notion.so/N-FR-33-366da49ee11281d99afbc2f3478a35db?pvs=21), N-FR-34 (https://www.notion.so/N-FR-34-366da49ee112815d911ee2ebf7f4c10f?pvs=21), N-FR-35 (https://www.notion.so/N-FR-35-366da49ee1128176b815cbff7c8465ed?pvs=21), N-FR-36 (https://www.notion.so/N-FR-36-366da49ee11281d79720fa0e6c84b979?pvs=21), N-FR-37 (https://www.notion.so/N-FR-37-366da49ee112815787d9d4f506a6fe9b?pvs=21), N-FR-38 (https://www.notion.so/N-FR-38-366da49ee11281809345ead490f89a83?pvs=21), N-FR-39 (https://www.notion.so/N-FR-39-366da49ee112811e929ec579db1a6a18?pvs=21), N-FR-40 (https://www.notion.so/N-FR-40-366da49ee11281688bd9d33ed6e73f3e?pvs=21), N-FR-44 (https://www.notion.so/N-FR-44-366da49ee11281eab6b6c10fe358573c?pvs=21)",
N-PR-09,"The Pomodoro Sessions DB shall act as an append-only event log, written to automatically by the app at the end of every session",Product Requirement,Pomodoro Timer (https://www.notion.so/Pomodoro-Timer-366da49ee112802a9df7cc88b889bb39?pvs=21),Notion Integration,4. Pomodoro Sessions DB,Draft,Must Have,"N-FR-30 (https://www.notion.so/N-FR-30-366da49ee1128177a3d2dd2fddd95f87?pvs=21), N-FR-31 (https://www.notion.so/N-FR-31-366da49ee11281fb9825fc60ad8893f4?pvs=21), N-FR-32 (https://www.notion.so/N-FR-32-366da49ee112813d8b09d47196b924c5?pvs=21), N-FR-33 (https://www.notion.so/N-FR-33-366da49ee11281d99afbc2f3478a35db?pvs=21), N-FR-34 (https://www.notion.so/N-FR-34-366da49ee112815d911ee2ebf7f4c10f?pvs=21), N-FR-35 (https://www.notion.so/N-FR-35-366da49ee1128176b815cbff7c8465ed?pvs=21), N-FR-36 (https://www.notion.so/N-FR-36-366da49ee11281d79720fa0e6c84b979?pvs=21), N-FR-37 (https://www.notion.so/N-FR-37-366da49ee112815787d9d4f506a6fe9b?pvs=21), N-FR-38 (https://www.notion.so/N-FR-38-366da49ee11281809345ead490f89a83?pvs=21), N-FR-39 (https://www.notion.so/N-FR-39-366da49ee112811e929ec579db1a6a18?pvs=21), N-FR-40 (https://www.notion.so/N-FR-40-366da49ee11281688bd9d33ed6e73f3e?pvs=21)",
N-FR-06,"Projects DB — Area: Select field. No pre-populated options — user adds their own (e.g. Work, Personal, Learning, Health)",Functional Requirement,Pomodoro Timer (https://www.notion.so/Pomodoro-Timer-366da49ee112802a9df7cc88b889bb39?pvs=21),Notion Integration,2. Projects DB,Draft,Should Have,,
N-FR-04,Projects DB — Name: Title field. The project name.,Functional Requirement,Pomodoro Timer (https://www.notion.so/Pomodoro-Timer-366da49ee112802a9df7cc88b889bb39?pvs=21),Notion Integration,2. Projects DB,Draft,Must Have,,
N-FR-38,Pomodoro Sessions DB — Cycle Number: Number field. Which pomodoro in the current 4-cycle block (1-4). Null for breaks and planning sessions.,Functional Requirement,Pomodoro Timer (https://www.notion.so/Pomodoro-Timer-366da49ee112802a9df7cc88b889bb39?pvs=21),Notion Integration,4. Pomodoro Sessions DB,Draft,Must Have,,
N-PR-11,"The app shall support a Planning Session mode — a distinct, time-boxed session for reviewing and scheduling tasks for the day — separate from the focus/break cycle",Product Requirement,Pomodoro Timer (https://www.notion.so/Pomodoro-Timer-366da49ee112802a9df7cc88b889bb39?pvs=21),Notion Integration,5. Planning Session,Draft,Must Have,"N-FR-41 (https://www.notion.so/N-FR-41-366da49ee112814baa85ca2d2eeea97e?pvs=21), N-FR-42 (https://www.notion.so/N-FR-42-366da49ee112819aa8f8e5eb7d075858?pvs=21), N-FR-43 (https://www.notion.so/N-FR-43-366da49ee1128109b9bec7cd77ba40fd?pvs=21), N-FR-44 (https://www.notion.so/N-FR-44-366da49ee11281eab6b6c10fe358573c?pvs=21)",
N-PR-08,"The Focus Tasks DB shall track both the user's estimated and actual pomodoro count per task, enabling improvement of estimation accuracy over time",Product Requirement,Pomodoro Timer (https://www.notion.so/Pomodoro-Timer-366da49ee112802a9df7cc88b889bb39?pvs=21),Notion Integration,3. Focus Tasks DB,Draft,Should Have,"N-FR-19 (https://www.notion.so/N-FR-19-366da49ee11281d38941c0a71b627e57?pvs=21), N-FR-20 (https://www.notion.so/N-FR-20-366da49ee11281229134d34dcf3cadb7?pvs=21)",
N-PR-01,"The app shall use Notion as its persistent data store, organised across three linked databases: Projects, Focus Tasks, and Pomodoro Sessions",Product Requirement,Pomodoro Timer (https://www.notion.so/Pomodoro-Timer-366da49ee112802a9df7cc88b889bb39?pvs=21),Notion Integration,1. Data Architecture,Draft,Must Have,"N-FR-01 (https://www.notion.so/N-FR-01-366da49ee112814db66aff0e5c424a3b?pvs=21), N-FR-02 (https://www.notion.so/N-FR-02-366da49ee11281e191aaf47160f34af8?pvs=21), N-FR-03 (https://www.notion.so/N-FR-03-366da49ee11281df9074f8601c2c161b?pvs=21)",
N-FR-28,The Focus Tasks DB header shall include a button labelled 'Reschedule All Overdue' that bulk-sets Scheduled Date to today for all tasks where Scheduled Date is before today and Status is not Done. No confirmation required.,Functional Requirement,Pomodoro Timer (https://www.notion.so/Pomodoro-Timer-366da49ee112802a9df7cc88b889bb39?pvs=21),Notion Integration,3. Focus Tasks DB,Draft,Should Have,,
N-FR-15,Focus Tasks DB — Scheduled Date: Date field. Nullable — null means Backlog. Tasks where Scheduled Date is on or before today and not Done are surfaced as active in the app,Functional Requirement,Pomodoro Timer (https://www.notion.so/Pomodoro-Timer-366da49ee112802a9df7cc88b889bb39?pvs=21),Notion Integration,3. Focus Tasks DB,Draft,Must Have,,
N-FR-24,Focus Tasks DB — Created: Created Time field. Auto-populated by Notion,Functional Requirement,Pomodoro Timer (https://www.notion.so/Pomodoro-Timer-366da49ee112802a9df7cc88b889bb39?pvs=21),Notion Integration,3. Focus Tasks DB,Draft,Must Have,,
N-FR-07,Projects DB — Color / Icon: Icon and Cover properties for visual scanning in dashboard views,Functional Requirement,Pomodoro Timer (https://www.notion.so/Pomodoro-Timer-366da49ee112802a9df7cc88b889bb39?pvs=21),Notion Integration,2. Projects DB,Draft,Nice To Have,,
N-FR-21,Focus Tasks DB — Type: Select field. Options: Deep Work / Admin / Communication / Creative / Research,Functional Requirement,Pomodoro Timer (https://www.notion.so/Pomodoro-Timer-366da49ee112802a9df7cc88b889bb39?pvs=21),Notion Integration,3. Focus Tasks DB,Draft,Should Have,,
N-PR-15,The Notion dashboard shall provide two views: a Daily view for in-session use and a Weekly/Project view for end-of-week review,Product Requirement,Pomodoro Timer (https://www.notion.so/Pomodoro-Timer-366da49ee112802a9df7cc88b889bb39?pvs=21),Notion Integration,8. Dashboard,Draft,Should Have,"N-FR-51 (https://www.notion.so/N-FR-51-366da49ee1128177ae59ebc1efbef22f?pvs=21), N-FR-52 (https://www.notion.so/N-FR-52-366da49ee11281d78fa5e98f5a740f63?pvs=21), N-FR-53 (https://www.notion.so/N-FR-53-366da49ee1128128882ed6ad9fdcd088?pvs=21), N-FR-53a (https://www.notion.so/N-FR-53a-366da49ee11281e7bd7ec7fb57ab7975?pvs=21), N-FR-54 (https://www.notion.so/N-FR-54-366da49ee11281e58075ddbe63c0c802?pvs=21), N-FR-55 (https://www.notion.so/N-FR-55-366da49ee112812a9ec8f88c144880fb?pvs=21), N-FR-56 (https://www.notion.so/N-FR-56-366da49ee1128167b990d99a8ed7dbfe?pvs=21), N-FR-57 (https://www.notion.so/N-FR-57-366da49ee11281869969d3349cfee342?pvs=21), N-FR-58 (https://www.notion.so/N-FR-58-366da49ee11281d9bf97fbbe4ebd5539?pvs=21), N-FR-59 (https://www.notion.so/N-FR-59-366da49ee11281b68450dd4216084f05?pvs=21)",
N-FR-29,"Tasks with a Scheduled Date in the future shall be valid and stored, but shall not be surfaced in the app's task picker until their scheduled date arrives",Functional Requirement,Pomodoro Timer (https://www.notion.so/Pomodoro-Timer-366da49ee112802a9df7cc88b889bb39?pvs=21),Notion Integration,3. Focus Tasks DB,Draft,Must Have,,
N-PR-12,"Planning sessions shall not count toward the user's daily pomodoro total, as they represent organisation time rather than focused work",Product Requirement,Pomodoro Timer (https://www.notion.so/Pomodoro-Timer-366da49ee112802a9df7cc88b889bb39?pvs=21),Notion Integration,5. Planning Session,Draft,Must Have,"N-FR-44 (https://www.notion.so/N-FR-44-366da49ee11281eab6b6c10fe358573c?pvs=21), N-FR-45 (https://www.notion.so/N-FR-45-366da49ee1128137a098dcc5ec4f8509?pvs=21)",
N-FR-05,Projects DB — Status: Select field. Options: Active / On Hold / Completed / Archived,Functional Requirement,Pomodoro Timer (https://www.notion.so/Pomodoro-Timer-366da49ee112802a9df7cc88b889bb39?pvs=21),Notion Integration,2. Projects DB,Draft,Must Have,,
N-PR-16,"The dashboard shall surface statistics that support self-improvement, not just vanity counts",Product Requirement,Pomodoro Timer (https://www.notion.so/Pomodoro-Timer-366da49ee112802a9df7cc88b889bb39?pvs=21),Notion Integration,8. Dashboard,Draft,Should Have,"N-FR-53a (https://www.notion.so/N-FR-53a-366da49ee11281e7bd7ec7fb57ab7975?pvs=21), N-FR-55 (https://www.notion.so/N-FR-55-366da49ee112812a9ec8f88c144880fb?pvs=21), N-FR-56 (https://www.notion.so/N-FR-56-366da49ee1128167b990d99a8ed7dbfe?pvs=21), N-FR-57 (https://www.notion.so/N-FR-57-366da49ee11281869969d3349cfee342?pvs=21), N-FR-58 (https://www.notion.so/N-FR-58-366da49ee11281d9bf97fbbe4ebd5539?pvs=21), N-FR-59 (https://www.notion.so/N-FR-59-366da49ee11281b68450dd4216084f05?pvs=21)",
N-PR-17,"The app shall read user-configurable goal settings from a dedicated Config page in Notion, so that preferences can be updated in Notion without changing anything in the app",Product Requirement,Pomodoro Timer (https://www.notion.so/Pomodoro-Timer-366da49ee112802a9df7cc88b889bb39?pvs=21),Notion Integration,7. Notion Config,Draft,Must Have,"N-FR-60 (https://www.notion.so/N-FR-60-366da49ee11281db99b2e4af566c9721?pvs=21), N-FR-61 (https://www.notion.so/N-FR-61-366da49ee11281229e3df1f2ca8649d3?pvs=21), N-FR-62 (https://www.notion.so/N-FR-62-366da49ee112816a8153ce07c9304889?pvs=21), N-FR-63 (https://www.notion.so/N-FR-63-366da49ee112810ba500c801a3e88d01?pvs=21), N-FR-64 (https://www.notion.so/N-FR-64-366da49ee112819983dde5077f3e8b1a?pvs=21), N-FR-53a (https://www.notion.so/N-FR-53a-366da49ee11281e7bd7ec7fb57ab7975?pvs=21)",
N-FR-09,Projects DB — Target Pomodoros: Number field. Optional effort goal for the project,Functional Requirement,Pomodoro Timer (https://www.notion.so/Pomodoro-Timer-366da49ee112802a9df7cc88b889bb39?pvs=21),Notion Integration,2. Projects DB,Draft,Nice To Have,,
N-FR-12,Focus Tasks DB — Name: Title field. The task name.,Functional Requirement,Pomodoro Timer (https://www.notion.so/Pomodoro-Timer-366da49ee112802a9df7cc88b889bb39?pvs=21),Notion Integration,3. Focus Tasks DB,Draft,Must Have,,
N-FR-19,Focus Tasks DB — Estimate: Number field. User's expected pomodoro count for this task,Functional Requirement,Pomodoro Timer (https://www.notion.so/Pomodoro-Timer-366da49ee112802a9df7cc88b889bb39?pvs=21),Notion Integration,3. Focus Tasks DB,Draft,Should Have,,
N-FR-36,Pomodoro Sessions DB — Duration (mins): Formula field. End Time minus Start Time in minutes.,Functional Requirement,Pomodoro Timer (https://www.notion.so/Pomodoro-Timer-366da49ee112802a9df7cc88b889bb39?pvs=21),Notion Integration,4. Pomodoro Sessions DB,Draft,Must Have,,
N-FR-33,"Pomodoro Sessions DB — Date: Date field. Date of session (date only, not datetime)",Functional Requirement,Pomodoro Timer (https://www.notion.so/Pomodoro-Timer-366da49ee112802a9df7cc88b889bb39?pvs=21),Notion Integration,4. Pomodoro Sessions DB,Draft,Must Have,,
N-PR-14,"Overdue tasks shall be visually distinguished from today's tasks in the picker, so the user can make an informed prioritisation decision",Product Requirement,Pomodoro Timer (https://www.notion.so/Pomodoro-Timer-366da49ee112802a9df7cc88b889bb39?pvs=21),Notion Integration,6. App Task Picker,Draft,Must Have,"N-FR-47 (https://www.notion.so/N-FR-47-366da49ee1128152b003cab1618a6002?pvs=21), N-FR-48 (https://www.notion.so/N-FR-48-366da49ee112816f80faeae456f4763f?pvs=21)",
N-PR-10,Session records shall contain enough data to power all dashboard statistics without requiring additional manual input from the user,Product Requirement,Pomodoro Timer (https://www.notion.so/Pomodoro-Timer-366da49ee112802a9df7cc88b889bb39?pvs=21),Notion Integration,4. Pomodoro Sessions DB,Draft,Must Have,"N-FR-33 (https://www.notion.so/N-FR-33-366da49ee11281d99afbc2f3478a35db?pvs=21), N-FR-34 (https://www.notion.so/N-FR-34-366da49ee112815d911ee2ebf7f4c10f?pvs=21), N-FR-35 (https://www.notion.so/N-FR-35-366da49ee1128176b815cbff7c8465ed?pvs=21), N-FR-36 (https://www.notion.so/N-FR-36-366da49ee11281d79720fa0e6c84b979?pvs=21), N-FR-37 (https://www.notion.so/N-FR-37-366da49ee112815787d9d4f506a6fe9b?pvs=21), N-FR-38 (https://www.notion.so/N-FR-38-366da49ee11281809345ead490f89a83?pvs=21), N-FR-39 (https://www.notion.so/N-FR-39-366da49ee112811e929ec579db1a6a18?pvs=21)",
N-FR-03,"The system shall expose rollup properties so that Actual Pomodoros on a task auto-calculates from its linked sessions, and Total Pomodoros on a project auto-calculates from its linked tasks",Functional Requirement,Pomodoro Timer (https://www.notion.so/Pomodoro-Timer-366da49ee112802a9df7cc88b889bb39?pvs=21),Notion Integration,1. Data Architecture,Draft,Must Have,,
N-FR-23,Focus Tasks DB — Notes / Context: Rich text field. Where the user left off and what to pick up next session,Functional Requirement,Pomodoro Timer (https://www.notion.so/Pomodoro-Timer-366da49ee112802a9df7cc88b889bb39?pvs=21),Notion Integration,3. Focus Tasks DB,Draft,Must Have,,
N-FR-02,The system shall create a relation property on the Pomodoro Sessions DB linking each session to exactly one Focus Task,Functional Requirement,Pomodoro Timer (https://www.notion.so/Pomodoro-Timer-366da49ee112802a9df7cc88b889bb39?pvs=21),Notion Integration,1. Data Architecture,Draft,Must Have,,
N-FR-13,Focus Tasks DB — Project: Relation to Projects DB. Required on every task.,Functional Requirement,Pomodoro Timer (https://www.notion.so/Pomodoro-Timer-366da49ee112802a9df7cc88b889bb39?pvs=21),Notion Integration,3. Focus Tasks DB,Draft,Must Have,,
N-PR-06,"The Focus Tasks DB shall be the primary list of work the user intends to do, organised by project and schedulable to specific dates",Product Requirement,Pomodoro Timer (https://www.notion.so/Pomodoro-Timer-366da49ee112802a9df7cc88b889bb39?pvs=21),Notion Integration,3. Focus Tasks DB,Draft,Must Have,"N-FR-12 (https://www.notion.so/N-FR-12-366da49ee11281cca0d3f6ac03c5000c?pvs=21), N-FR-13 (https://www.notion.so/N-FR-13-366da49ee11281f2a78ef06754578543?pvs=21), N-FR-14 (https://www.notion.so/N-FR-14-366da49ee11281f9bef5fc3385a59667?pvs=21), N-FR-18 (https://www.notion.so/N-FR-18-366da49ee11281279015e48d179621a7?pvs=21), N-FR-21 (https://www.notion.so/N-FR-21-366da49ee11281a59757c79f4406adf3?pvs=21), N-FR-22 (https://www.notion.so/N-FR-22-366da49ee1128131bf2ce52434dc42ee?pvs=21), N-FR-23 (https://www.notion.so/N-FR-23-366da49ee11281e18cddd3c079e24d4a?pvs=21), N-FR-24 (https://www.notion.so/N-FR-24-366da49ee112819d88bffd2cedbda0ce?pvs=21), N-FR-25 (https://www.notion.so/N-FR-25-366da49ee11281729d3af9e82d191c82?pvs=21)",
N-PR-07,"Tasks shall be schedulable to a specific date rather than a status bucket, so that unfinished tasks automatically become overdue without manual intervention",Product Requirement,Pomodoro Timer (https://www.notion.so/Pomodoro-Timer-366da49ee112802a9df7cc88b889bb39?pvs=21),Notion Integration,3. Focus Tasks DB,Draft,Must Have,"N-FR-14 (https://www.notion.so/N-FR-14-366da49ee11281f9bef5fc3385a59667?pvs=21), N-FR-15 (https://www.notion.so/N-FR-15-366da49ee112819d8489d1041cf11f9b?pvs=21), N-FR-16 (https://www.notion.so/N-FR-16-366da49ee1128170a7e5e6f6c0b428db?pvs=21), N-FR-17 (https://www.notion.so/N-FR-17-366da49ee112811c87cffaf75fc75a50?pvs=21), N-FR-26 (https://www.notion.so/N-FR-26-366da49ee112814f8acacf9b360f08e9?pvs=21), N-FR-27 (https://www.notion.so/N-FR-27-366da49ee112811cb6ccc487cd9e0c75?pvs=21), N-FR-28 (https://www.notion.so/N-FR-28-366da49ee112819c8351f14100f6e69a?pvs=21), N-FR-29 (https://www.notion.so/N-FR-29-366da49ee11281b098ffefa30fc5f881?pvs=21)",
N-FR-10,Projects DB — Due Date: Date field. Optional project deadline,Functional Requirement,Pomodoro Timer (https://www.notion.so/Pomodoro-Timer-366da49ee112802a9df7cc88b889bb39?pvs=21),Notion Integration,2. Projects DB,Draft,Should Have,,
N-FR-14,Focus Tasks DB — Status: Select field. Options: Unscheduled / Scheduled / Done / Abandoned,Functional Requirement,Pomodoro Timer (https://www.notion.so/Pomodoro-Timer-366da49ee112802a9df7cc88b889bb39?pvs=21),Notion Integration,3. Focus Tasks DB,Draft,Must Have,,
N-FR-31,Pomodoro Sessions DB — Task: Relation to Focus Tasks DB. Null for break sessions.,Functional Requirement,Pomodoro Timer (https://www.notion.so/Pomodoro-Timer-366da49ee112802a9df7cc88b889bb39?pvs=21),Notion Integration,4. Pomodoro Sessions DB,Draft,Must Have,,
N-FR-43,The app shall run the planning session timer only — it shall not open Notion or any external app automatically when the session begins,Functional Requirement,Pomodoro Timer (https://www.notion.so/Pomodoro-Timer-366da49ee112802a9df7cc88b889bb39?pvs=21),Notion Integration,5. Planning Session,Draft,Must Have,,
N-FR-63,The app shall read the Config page on launch and cache the values for the session,Functional Requirement,Pomodoro Timer (https://www.notion.so/Pomodoro-Timer-366da49ee112802a9df7cc88b889bb39?pvs=21),Notion Integration,7. Notion Config,Draft,Must Have,,
N-FR-61,Config page — Daily Pomodoro Goal: Number property. Default: 8. Target focus pomodoros per day.,Functional Requirement,Pomodoro Timer (https://www.notion.so/Pomodoro-Timer-366da49ee112802a9df7cc88b889bb39?pvs=21),Notion Integration,7. Notion Config,Draft,Must Have,,
N-FR-53,"Daily Dashboard: show count of focus pomodoros completed today (Sessions DB: Type = Focus, Completed = true, Date = today)",Functional Requirement,Pomodoro Timer (https://www.notion.so/Pomodoro-Timer-366da49ee112802a9df7cc88b889bb39?pvs=21),Notion Integration,8. Dashboard,Draft,Must Have,,
N-FR-55,Weekly Dashboard: show total pomodoros per project for the current week,Functional Requirement,Pomodoro Timer (https://www.notion.so/Pomodoro-Timer-366da49ee112802a9df7cc88b889bb39?pvs=21),Notion Integration,8. Dashboard,Draft,Should Have,,
N-FR-45,Planning sessions shall be excluded from all pomodoro count statistics on the dashboard,Functional Requirement,Pomodoro Timer (https://www.notion.so/Pomodoro-Timer-366da49ee112802a9df7cc88b889bb39?pvs=21),Notion Integration,5. Planning Session,Draft,Must Have,,
